,Unique City,No. Charging Stations
204,"AVON PARK, FL",3
205,"AVON, CO",14
206,"AVON, IN",2
207,"AVON, NC",1
208,"AVON, OH",2
209,"AVONDALE ESTATES, GA",1
210,"AVONDALE, AZ",3
211,"AVONDALE, LA",1
212,"AZTEC, NM",1
213,"AZUSA, CA",8
214,"BAD AXE, MI",1
215,"BAILEYS HARBOR, WI",2
216,"BAINBRIDGE ISLAND, WA",5
217,"BAKER CITY, OR",1
218,"BAKER, CA",4
219,"BAKERSFIELD, CA",21
220,"BAL HARBOUR, FL",3
221,"BALCONES HEIGHTS, TX",2
222,"BALDWIN PARK, CA",3
223,"BALDWIN, MI",1
224,"BALDWIN, WI",1
225,"BALDWINSVILLE, NY",1
226,"BALLSTON SPA, NY",1
227,"BALLWIN, MO",3
228,"BALLY, PA",1
229,"BALTIMORE, MD",185
230,"BANDERA, TX",1
231,"BANDON, OR",5
232,"BANGOR, ME",3
233,"BANKS, OR",2
234,"BANNER ELK, NC",2
235,"BANNING, CA",4
236,"BARABOO, WI",1
237,"BARBOURSVILLE, WV",1
238,"BARDSTOWN, KY",3
239,"BARNSTABLE, MA",17
240,"BARRE, VT",5
241,"BARRINGTON, IL",3
242,"BARSTOW, CA",7
243,"BARTLESVILLE, OK",1
244,"BARTLETT, TN",2
245,"BARTOW, FL",1
246,"BASALT, CO",3
247,"BASTROP, TX",1
248,"BATAVIA, IL",1
249,"BATAVIA, NY",4
250,"BATAVIA, OH",1
251,"BATON ROUGE, LA",23
252,"BATTLE CREEK, MI",4
253,"BATTLE MOUNTAIN, NV",1
254,"BAXTER, MN",1
255,"BAXTER, TN",1
256,"BAY CITY, MI",2
257,"BAY CITY, TX",2
258,"BAY HARBOR ISLANDS, FL",2
259,"BAY LAKE, FL",1
260,"BAY POINT, CA",1
261,"BAY SHORE, NY",4
262,"BAYTOWN, TX",3
263,"BEACH HAVEN, NJ",3
264,"BEACON, NY",4
265,"BEATTY, NV",2
266,"BEAUFORT, NC",2
267,"BEAUFORT, SC",3
268,"BEAUMONT, CA",3
269,"BEAUMONT, TX",3
270,"BEAVER FALLS, PA",1
271,"BEAVER, UT",2
272,"BEAVERCREEK, OH",3
273,"BEAVERTON, OR",19
274,"BECKLEY, WV",1
275,"BEDFORD HEIGHTS, OH",1
276,"BEDFORD HILLS, NY",4
277,"BEDFORD, OH",1
