,Unique City,No. Charging Stations
866,"COOPERSBURG, PA",2
867,"COOPERSTOWN, NY",3
868,"COOS BAY, OR",3
869,"COPIAGUE, NY",1
870,"COPPELL, TX",9
871,"CORAL GABLES, FL",19
872,"CORAL SPRINGS, FL",4
873,"CORALVILLE, IA",5
874,"CORDELE, GA",3
875,"CORDOVA, AK",2
876,"CORFU, NY",1
877,"CORINTH, MS",3
878,"CORINTH, TX",2
879,"CORNELIA, GA",2
880,"CORNELIUS, NC",3
881,"CORNELIUS, OR",4
882,"CORNING, CA",2
883,"CORNING, NY",4
884,"CORONA, CA",23
885,"CORONADO, CA",6
886,"CORPUS CHRISTI, TX",10
887,"CORSICANA, TX",1
888,"CORTE MADERA, CA",6
889,"CORTEZ, CO",1
890,"CORTLAND, NY",2
891,"CORVALLIS, OR",17
892,"COSTA MESA, CA",32
893,"COTATI, CA",3
894,"COTTAGE GROVE, MN",3
895,"COTTAGE GROVE, OR",3
896,"COTTONWOOD, AZ",1
897,"COULEE CITY, WA",1
898,"COUNCIL BLUFFS, IA",3
899,"COUNTRY CLUB HILLS, IL",1
900,"COUNTRYSIDE, IL",4
901,"COVINA, CA",5
902,"COVINGTON, GA",3
903,"COVINGTON, IN",1
904,"COVINGTON, KY",2
905,"COVINGTON, LA",4
906,"COVINGTON, WA",3
907,"CRAFTON, PA",1
908,"CRAIG, CO",2
909,"CRANSTON, RI",5
910,"CRAWFORDSVILLE, IN",2
911,"CREIGHTON, MO",1
912,"CRESCENT CITY, CA",4
913,"CRESTED BUTTE, CO",6
914,"CRESTON, CA",1
915,"CRESTWOOD, KY",1
916,"CREVE COEUR, MO",3
917,"CRIPPLE CREEK, CO",4
918,"CROFTON, MD",1
919,"CROSBY, MN",1
920,"CROSS PLAINS, WI",2
921,"CROSSVILLE, TN",2
922,"CROTON-ON-HUDSON, NY",2
923,"CROWN POINT, IN",1
924,"CROZET, VA",1
925,"CRYSTAL LAKE, IL",5
926,"CRYSTAL RIVER, FL",5
927,"CUERO, TX",2
928,"CULLMAN, AL",3
929,"CULLOWHEE, NC",2
930,"CULPEPER, VA",1
931,"CULVER CITY, CA",24
932,"CUMBERLAND, MD",4
933,"CUMMING, GA",5
934,"CUMMING, IA",2
935,"CUPERTINO, CA",23
936,"CUSSETA, GA",4
937,"CUSTER, MT",1
938,"CUSTER, SD",9
939,"CUSTER, WA",1
940,"CUTCHOGUE, NY",1
941,"CUTLER BAY, FL",1
942,"CUYAHOGA FALLS, OH",4
943,"CYPRESS GARDENS, FL",1
944,"CYPRESS, CA",2
945,"D'IBERVILLE, MS",1
946,"DACULA, GA",1
947,"DADE CITY, FL",3
948,"DAGSBORO, DE",1
949,"DAHLGREN, VA",1
950,"DAHLONEGA, GA",7
951,"DAKOTA CITY, NE",1
952,"DAKOTA, MN",1
953,"DALLAS, GA",2
954,"DALLAS, NC",1
955,"DALLAS, OR",1
956,"DALLAS, TX",134
957,"DALTON, GA",2
958,"DALTON, OH",1
959,"DALTON, PA",1
960,"DALY CITY, CA",10
961,"DANA POINT, CA",3
962,"DANBURY, CT",14
963,"DANDRIDGE, TN",1
964,"DANIA BEACH, FL",8
965,"DANVILLE, CA",9
966,"DANVILLE, IL",1
967,"DANVILLE, KY",3
968,"DANVILLE, OH",1
969,"DANVILLE, PA",1
970,"DANVILLE, VA",3
971,"DAPHNE, AL",3
972,"DARIEN, IL",1
973,"DARLINGTON, MD",1
974,"DARNESTOWN, MD",1
975,"DATELAND, AZ",1
976,"DAVENPORT, FL",10
977,"DAVENPORT, IA",13
978,"DAVENPORT, WA",1
979,"DAVIDSON, NC",4
980,"DAVIE, FL",13
981,"DAVIS, CA",30
982,"DAVIS, OK",2
983,"DAVIS, WV",4
984,"DAWSONVILLE, GA",3
985,"DAYTON, OH",24
986,"DAYTON, OR",4
987,"DAYTON, WA",2
988,"DAYTONA BEACH SHORES, FL",2
989,"DAYTONA BEACH, FL",14
990,"DE SOTO, IA",1
991,"DEADWOOD, SD",1
992,"DEARBORN HEIGHTS, MI",1
993,"DEARBORN, MI",1
994,"DEBARY, FL",1
995,"DECATUR, AL",3
996,"DECATUR, GA",20
997,"DECATUR, IL",3
998,"DECORAH, IA",2
999,"DEER ISLAND, OR",1
1000,"DEER PARK, CA",1
1001,"DEER PARK, NY",2
1002,"DEER PARK, TX",1
1003,"DEER PARK, WA",1
1004,"DEERFIELD BEACH, FL",4
1005,"DEERFIELD, IL",1
1006,"DEFOREST, WI",1
1007,"DEFUNIAK SPRINGS, FL",1
1008,"DEKALB, IL",1
1009,"DEL CITY, OK",1
1010,"DEL MAR, CA",8
1011,"DEL MONTE FOREST, CA",4
1012,"DEL NORTE, CO",1
1013,"DEL RIO, TX",1
1014,"DELAND, FL",7
1015,"DELANO, CA",3
1016,"DELAVAN, WI",1
1017,"DELAWARE, OH",2
1018,"DELHI, CA",2
1019,"DELLROY, OH",1
1020,"DELPHOS, OH",1
1021,"DELRAY BEACH, FL",13
1022,"DELTA, CO",1
1023,"DELTA, UT",1
1024,"DELTAVILLE, VA",1
1025,"DELTONA, FL",6
1026,"DEMAREST, NJ",1
1027,"DEMING, NM",2
1028,"DENISON, TX",2
1029,"DENTON, TX",13
1030,"DENVER, CO",173
1031,"DENVER, PA",3
1032,"DEPEW, NY",2
1033,"DEPOE BAY, OR",1
1034,"DERBY LINE, VT",1
1035,"DERBY, KS",1
1036,"DERIDDER, LA",1
1037,"DES MOINES, IA",13
1038,"DES MOINES, WA",4
1039,"DES PLAINES, IL",10
1040,"DESERT CENTER, CA",1
1041,"DESERT HOT SPRINGS, CA",2
1042,"DESOTO, TX",2
1043,"DESTIN, FL",8
1044,"DETROIT LAKES, MN",1
1045,"DETROIT, MI",53
1046,"DETROIT, OR",2
1047,"DEVENS, MA",3
1048,"DEVON, PA",3
1049,"DEWEY BEACH, DE",1
1050,"DEWITT, MI",1
1051,"DEXTER, MI",1
1052,"DIAMOND BAR, CA",13
1053,"DICKINSON, ND",2
1054,"DICKSON, TN",4
1055,"DILLSBORO, NC",1
1056,"DINOSAUR, CO",2
1057,"DIX HILLS, NY",1
1058,"DIXON, CA",3
1059,"DIXON, IL",1
1060,"DOBBS FERRY, NY",1
1061,"DOBSON, NC",2
1062,"DODGE CITY, KS",1
1063,"DOLORES, CO",1
1064,"DORAL, FL",15
1065,"DOTHAN, AL",2
1066,"DOUGLAS CITY, CA",1
1067,"DOUGLAS, MI",1
1068,"DOUGLAS, WY",1
1069,"DOUGLASSVILLE, PA",1
1070,"DOUGLASVILLE, GA",3
1071,"DOVER, DE",6
1072,"DOVER, ID",1
1073,"DOVER, NH",2
1074,"DOVER, OH",1
1075,"DOWNERS GROVE, IL",8
1076,"DOWNEY, CA",28
1077,"DOWNIEVILLE, CA",1
1078,"DOWNSVILLE, NY",1
1079,"DOWS, IA",1
1080,"DRAKESBORO, KY",1
1081,"DRAPER, UT",18
1082,"DRESDEN, OH",1
1083,"DREXEL HILL, PA",1
1084,"DRIGGS, ID",1
1085,"DRIPPING SPRINGS, TX",3
1086,"DRY RIDGE, KY",1
1087,"DUARTE, CA",3
1088,"DUBLIN, CA",25
1089,"DUBLIN, GA",4
1090,"DUBLIN, OH",19
1091,"DUBOIS, PA",1
1092,"DUBOIS, WY",1
1093,"DUBUQUE, IA",7
1094,"DUCK, NC",4
1095,"DUCKTOWN, TN",2
1096,"DULUTH, GA",13
1097,"DULUTH, MN",13
1098,"DUMAS, TX",2
1099,"DUNCANVILLE, TX",2
1100,"DUNDALK, MD",1
1101,"DUNDEE, MI",1
1102,"DUNDEE, NY",1
1103,"DUNDEE, OR",5
1104,"DUNEDIN, FL",11
1105,"DUNKIRK, MD",1
1106,"DUNKIRK, NY",2
1107,"DUNMORE, PA",1
1108,"DUNN, NC",3
1109,"DUNNELLON, FL",1
1110,"DUNNIGAN, CA",2
1111,"DUNSEITH, ND",1
1112,"DUNSMUIR, CA",3
1113,"DUNWOODY, GA",2
1114,"DUPONT, WA",3
1115,"DURANGO, CO",9
1116,"DURANT, OK",3
1117,"DURHAM, NC",42
1118,"DUTCH FLAT, CA",1
1119,"DWIGHT, IL",1
1120,"DYER, IN",1
1121,"DYERSBURG, TN",1
1122,"EAGAN, MN",6
1123,"EAGLE PASS, TX",1
1124,"EAGLE, CO",6
1125,"EAGLE, ID",1
1126,"EAGLEVILLE, MO",1
1127,"EAGLEVILLE, PA",1
1128,"EAGLEVILLE, TN",1
1129,"EARLY, IA",1
1130,"EASLEY, SC",1
1131,"EAST ALTON, IL",1
1132,"EAST AURORA, NY",2
1133,"EAST ELLIJAY, GA",1
1134,"EAST LANSING, MI",12
1135,"EAST LIBERTY, OH",1
1136,"EAST LOS ANGELES, CA",1
1137,"EAST NORWICH, NY",1
1138,"EAST PALO ALTO, CA",2
1139,"EAST PEORIA, IL",3
1140,"EAST PETERSBURG, PA",1
1141,"EAST POINT, GA",2
1142,"EAST PROVIDENCE, RI",7
1143,"EAST ROCHESTER, NY",2
1144,"EAST RUTHERFORD, NJ",1
1145,"EAST STROUDSBURG, PA",1
1146,"EAST SYRACUSE, NY",3
1147,"EAST TAWAS, MI",1
1148,"EAST TROY, WI",1
1149,"EAST WENATCHEE, WA",2
1150,"EAST YORK, PA",1
1151,"EASTHAMPTON, MA",4
1152,"EASTLAND, TX",1
1153,"EASTON, MD",1
1154,"EASTON, PA",6
1155,"EASTPOINT, FL",2
1156,"EASTPOINTE, MI",1
1157,"EASTPORT, ME",1
1158,"EATONTON, GA",1
1159,"EATONTOWN, NJ",3
1160,"EAU CLAIRE, WI",5
1161,"EDEN PRAIRIE, MN",5
1162,"EDENTON, NC",1
1163,"EDGEWATER, CO",1
1164,"EDGEWATER, NJ",5
1165,"EDGEWOOD, MD",1
1166,"EDINA, MN",5
1167,"EDINBURG, TX",1
1168,"EDINBURGH, IN",1
1169,"EDMOND, OK",15
1170,"EDMONDS, WA",13
1171,"EDMONSTON, MD",1
1172,"EDWARDS, CO",7
1173,"EDWARDSVILLE, IL",2
1174,"EDWARDSVILLE, KS",1
1175,"EFFINGHAM, IL",3
1176,"EGG HARBOR, WI",2
1177,"EHRENBERG, AZ",1
1178,"EL CAJON, CA",14
1179,"EL CENTRO, CA",3
1180,"EL CERRITO, CA",3
1181,"EL DORADO HILLS, CA",7
1182,"EL DORADO, AR",1
1183,"EL DORADO, KS",1
1184,"EL JEBEL, CO",3
1185,"EL MONTE, CA",13
1186,"EL PASO, TX",20
1187,"EL RENO, OK",3
1188,"EL SEGUNDO, CA",28
1189,"ELBERTON, GA",2
1190,"ELEELE, HI",1
1191,"ELGIN, IL",6
1192,"ELGIN, TX",1
1193,"ELIZABETH CITY, NC",2
1194,"ELIZABETH, NJ",5
1195,"ELIZABETHTON, TN",1
1196,"ELIZABETHTOWN, KY",4
1197,"ELIZABETHTOWN, PA",2
1198,"ELK CITY, OK",3
1199,"ELK GROVE VILLAGE, IL",6
1200,"ELK GROVE, CA",16
1201,"ELK HORN, IA",2
1202,"ELK RIVER, MN",3
1203,"ELKHART, IN",2
1204,"ELKHORN, WI",2
1205,"ELKIN, NC",6
1206,"ELKO, NV",4
1207,"ELKRIDGE, MD",7
1208,"ELKTON, MD",1
1209,"ELKTON, OR",1
1210,"ELLENSBURG, WA",4
1211,"ELLENTON, FL",1
1212,"ELLENVILLE, NY",1
1213,"ELLICOTT CITY, MD",5
1214,"ELLISON BAY, WI",1
1215,"ELLSWORTH, ME",1
1216,"ELMER, NJ",1
1217,"ELMHURST, IL",3
1218,"ELMIRA, NY",3
1219,"ELMSFORD, NY",1
1220,"ELMWOOD PARK, IL",1
1221,"ELON, NC",1
1222,"ELVERSON, PA",1
1223,"ELY, MN",1
1224,"ELY, NV",1
1225,"ELYRIA, OH",1
1226,"EMERALD ISLE, NC",1
1227,"EMERYVILLE, CA",16
1228,"EMMETSBURG, IA",1
1229,"EMMITSBURG, MD",1
1230,"EMPORIA, KS",2
1231,"EMPORIA, VA",2
1232,"ENCINAL, TX",2
1233,"ENCINITAS, CA",5
1234,"ENDICOTT, NY",1
1235,"ENFIELD, NC",1
1236,"ENGLEWOOD, CO",12
1237,"ENGLEWOOD, FL",3
1238,"ENGLEWOOD, OH",1
1239,"ENID, OK",3
1240,"ENNIS, TX",1
1241,"ENTERPRISE, AL",1
1242,"ENTERPRISE, OR",1
1243,"ENTIAT, WA",1
1244,"EPHRAIM, WI",3
1245,"EPHRATA, PA",6
1246,"EPHRATA, WA",1
1247,"ERICK, OK",1
1248,"ERIE, CO",2
1249,"ERIE, PA",8
1250,"ERLANGER, KY",1
1251,"ERWIN, TN",1
1252,"ESCALANTE, UT",2
1253,"ESCANABA, MI",1
1254,"ESCONDIDO, CA",29
1255,"ESSEX JUNCTION, VT",2
1256,"ESSEX, MD",1
1257,"ESTACADA, OR",2
1258,"ESTES PARK, CO",10
1259,"ESTHERVILLE, IA",1
1260,"ETOWAH, TN",1
1261,"EUGENE, OR",20
1262,"EULESS, TX",1
1263,"EUNICE, LA",2
1264,"EUREKA SPRINGS, AR",3
1265,"EUREKA, CA",12
1266,"EUSTIS, FL",3
1267,"EVANS, GA",2
1268,"EVANSDALE, IA",1
1269,"EVANSTON, IL",16
1270,"EVANSTON, WY",1
1271,"EVANSVILLE, IN",6
1272,"EVANSVILLE, WI",1
1273,"EVANSVILLE, WY",1
1274,"EVART, MI",2
1275,"EVERETT, WA",15
1276,"EVERGREEN PARK, IL",2
1277,"EVERGREEN, CO",2
1278,"EVERGREEN, NC",1
1279,"EVERSON, WA",1
1280,"EWA BEACH, HI",2
1281,"EXCELSIOR, MN",1
1282,"EXETER, CA",1
1283,"EXTON, PA",9
1284,"FAIR HAVEN, NY",1
1285,"FAIR LAWN, NJ",1
1286,"FAIR OAKS, CA",2
1287,"FAIRBORN, OH",3
1288,"FAIRBURN, GA",2
1289,"FAIRFAX, CA",3
1290,"FAIRFAX, OK",1
1291,"FAIRFAX, VA",24
1292,"FAIRFIELD, CA",22
1293,"FAIRFIELD, IA",2
1294,"FAIRFIELD, OH",1
1295,"FAIRFIELD, PA",2
1296,"FAIRLESS HILLS, PA",1
1297,"FAIRMOUNT, IN",1
1298,"FAIRPLAY, CO",1
1299,"FAIRPORT, NY",8
1300,"FAIRVIEW, TX",1
1301,"FALCON HEIGHTS, MN",1
1302,"FALL RIVER, MA",3
1303,"FALLBROOK, CA",3
1304,"FALLON, NV",2
1305,"FALLS CHURCH, VA",13
1306,"FALLS CITY, OR",1
1307,"FALLS CREEK, PA",1
1308,"FALLSTON, MD",1
1309,"FALMOUTH, VA",1
1310,"FANCY GAP, VA",1
1311,"FANWOOD, NJ",1
1312,"FARGO, ND",12
1313,"FARMERS BRANCH, TX",4
1314,"FARMINGDALE, NY",4
1315,"FARMINGTON HILLS, MI",4
1316,"FARMINGTON, MN",1
1317,"FARMINGTON, NM",6
1318,"FARMINGTON, PA",1
1319,"FARMINGTON, UT",4
1320,"FARMVILLE, VA",3
1321,"FARR WEST, UT",1
1322,"FAYETTEVILLE, AR",7
1323,"FAYETTEVILLE, GA",6
1324,"FAYETTEVILLE, NC",12
1325,"FAYETTEVILLE, NY",3
1326,"FAYETTEVILLE, PA",1
1327,"FEASTERVILLE, PA",2
1328,"FEDERAL HEIGHTS, CO",2
1329,"FEDERAL WAY, WA",6
1330,"FEDERALSBURG, MD",1
1331,"FELTON, CA",2
1332,"FENNIMORE, WI",1
1333,"FENTON, MI",1
1334,"FENTON, MO",2
1335,"FERGUS FALLS, MN",2
1336,"FERNANDINA BEACH, FL",8
1337,"FERNDALE, CA",5
1338,"FERNDALE, MI",3
1339,"FERNLEY, NV",1
1340,"FESTUS, MO",2
1341,"FIFE, WA",3
1342,"FILLMORE, CA",1
1343,"FILLMORE, UT",3
1344,"FINCASTLE, VA",1
1345,"FINDLAY, OH",3
1346,"FIREBAUGH, CA",4
1347,"FIRESTONE, CO",1
1348,"FISH CAMP, CA",2
1349,"FISHERS, IN",4
1350,"FITCHBURG, MA",2
1351,"FITCHBURG, WI",5
1352,"FLAGLER BEACH, FL",1
1353,"FLAGLER, CO",1
1354,"FLAGSTAFF, AZ",18
1355,"FLAT ROCK, NC",4
1356,"FLATONIA, TX",1
1357,"FLEMING ISLAND, FL",2
1358,"FLEMINGTON, GA",1
1359,"FLEMINGTON, NJ",4
1360,"FLETCHER, NC",3
1361,"FLINT, MI",1
1362,"FLINTSTONE, MD",1
1363,"FLORENCE, AL",4
1364,"FLORENCE, AZ",1
1365,"FLORENCE, KY",3
1366,"FLORENCE, OR",4
1367,"FLORENCE, SC",9
1368,"FLORESVILLE, TX",1
1369,"FLORHAM PARK, NJ",1
1370,"FLORIDA CITY, FL",3
1371,"FLORISSANT, MO",2
1372,"FLOSSMOOR, IL",1
1373,"FLOWER MOUND, TX",1
1374,"FLOWERY BRANCH, GA",1
1375,"FLOYD, VA",3
1376,"FOLEY, AL",5
1377,"FOLSOM, CA",19
1378,"FOLSOM, LA",1
1379,"FOND DU LAC, WI",2
1380,"FONTANA, CA",10
1381,"FONTANA-ON-GENEVA LAKE, WI",1
1382,"FOREST CITY, NC",2
1383,"FOREST GROVE, OR",5
1384,"FOREST HEIGHTS, MD",1
1385,"FOREST LAKE, MN",1
1386,"FOREST PARK, GA",1
1387,"FOREST PARK, IL",1
1388,"FOREST, VA",1
1389,"FORESTVILLE, CA",1
1390,"FORKED RIVER, NJ",1
1391,"FORKS, WA",4
1392,"FORREST CITY, AR",1
1393,"FORSYTH, GA",4
1394,"FORT ATKINSON, WI",1
1395,"FORT BRAGG, CA",5
1396,"FORT COLLINS, CO",49
1397,"FORT DAVIS, TX",1
1398,"FORT DODGE, IA",3
1399,"FORT IRWIN, CA",3
1400,"FORT LAUDERDALE, FL",51
1401,"FORT LEE, NJ",2
1402,"FORT LOUDON, PA",1
1403,"FORT LUPTON, CO",2
1404,"FORT MILL, SC",1
1405,"FORT MORGAN, CO",1
1406,"FORT MYERS BEACH, FL",2
1407,"FORT MYERS, FL",22
1408,"FORT PIERCE, FL",7
1409,"FORT PLAIN, NY",1
1410,"FORT SCOTT, KS",1
1411,"FORT SMITH, AR",1
1412,"FORT STEWART, GA",1
1413,"FORT STOCKTON, TX",2
1414,"FORT WALTON BEACH, FL",7
1415,"FORT WASHINGTON, MD",2
1416,"FORT WASHINGTON, PA",3
1417,"FORT WAYNE, IN",16
1418,"FORT WORTH, TX",47
1419,"FORTUNA, CA",3
1420,"FOSSIL, OR",1
1421,"FOSTER CITY, CA",4
1422,"FOUNTAIN VALLEY, CA",8
1423,"FOUNTAIN, CO",1
1424,"FOWLER, CA",3
1425,"FOX LAKE, IL",1
1426,"FOX LAKE, WI",1
1427,"FOXFIELD, CO",1
1428,"FRACKVILLE, PA",1
1429,"FRAMINGHAM, MA",12
1430,"FRANKENMUTH, MI",1
1431,"FRANKFORT, IL",1
1432,"FRANKFORT, KY",5
1433,"FRANKFORT, MI",3
1434,"FRANKLIN LAKES, NJ",3
1435,"FRANKLIN PARK, IL",1
1436,"FRANKLIN PARK, PA",1
1437,"FRANKLIN, KY",1
1438,"FRANKLIN, MA",5
1439,"FRANKLIN, NC",3
1440,"FRANKLIN, TN",13
1441,"FRANKLIN, WI",2
1442,"FRASER, CO",2
1443,"FREDERIC, WI",1
1444,"FREDERICK, CO",3
1445,"FREDERICK, MD",20
1446,"FREDERICK, OK",1
1447,"FREDERICKSBURG, TX",6
1448,"FREDERICKSBURG, VA",11
1449,"FREDONIA, NY",1
1450,"FREELAND, WA",2
1451,"FREEPORT, NY",3
1452,"FREMONT, CA",57
1453,"FREMONT, MI",1
1454,"FREMONT, NE",2
1455,"FREMONT, OH",1
1456,"FRENCH LICK, IN",1
1457,"FRESNO, CA",61
1458,"FRIDAY HARBOR, WA",7
1459,"FRIDLEY, MN",2
1460,"FRIENDSVILLE, TN",1
1461,"FRIENDSWOOD, TX",4
1462,"FRISCO, CO",6
1463,"FRISCO, TX",22
1464,"FRONT ROYAL, VA",3
1465,"FROSTBURG, MD",2
1466,"FULLERTON, CA",20
1467,"FULTON, CA",3
1468,"FULTON, MD",6
1469,"FULTON, MO",1
1470,"FULTONVILLE, NY",2
1471,"GADSDEN, AL",2
1472,"GAHANNA, OH",4
1473,"GAINESVILLE, FL",23
1474,"GAINESVILLE, GA",6
1475,"GAITHERSBURG, MD",18
1476,"GALENA, IL",8
1477,"GALESBURG, IL",2
1478,"GALESTOWN, MD",1
1479,"GALLATIN, TN",4
1480,"GALLIPOLIS, OH",1
1481,"GALLUP, NM",2
1482,"GALT, CA",2
1483,"GALVESTON, TX",11
1484,"GAMBIER, OH",3
1485,"GAMBRILLS, MD",1
1486,"GANADO, TX",1
1487,"GARBERVILLE, CA",3
1488,"GARDEN CITY, GA",1
1489,"GARDEN CITY, ID",1
1490,"GARDEN CITY, NY",3
1491,"GARDEN CITY, UT",1
1492,"GARDEN GROVE, CA",11
1493,"GARDENA, CA",8
1494,"GARDINER, MT",1
1495,"GARDNER, KS",2
1496,"GARDNER, MA",2
1497,"GARDNERVILLE, NV",5
1498,"GARFIELD HEIGHTS, OH",1
1499,"GARLAND, TX",17
1500,"GARNER, NC",1
1501,"GARY, IN",1
1502,"GASTON, OR",1
1503,"GASTONIA, NC",8
1504,"GATLINBURG, TN",3
1505,"GAYLORD, MI",2
1506,"GENESEO, IL",1
1507,"GENEVA, IL",8
1508,"GENEVA, NY",6
1509,"GENEVA, OH",2
1510,"GENOA, OH",2
1511,"GEORGE WEST, TX",1
1512,"GEORGETOWN, DE",1
1513,"GEORGETOWN, KY",1
1514,"GEORGETOWN, MD",1
1515,"GEORGETOWN, SC",1
1516,"GEORGETOWN, TX",1
1517,"GERMANTOWN, MD",6
1518,"GERMANTOWN, TN",2
1519,"GETTYSBURG, PA",8
1520,"GEYSERVILLE, CA",7
1521,"GIBSONVILLE, NC",1
1522,"GIDDINGS, TX",1
1523,"GIG HARBOR, WA",7
1524,"GILA BEND, AZ",2
1525,"GILBERT, AZ",9
1526,"GILLETTE, WY",1
1527,"GILMAN, IL",1
1528,"GILROY, CA",7
1529,"GIRARD, OH",1
1530,"GLADSTONE, MO",5
1531,"GLADSTONE, OR",4
1532,"GLASSBORO, NJ",1
1533,"GLEN ALLEN, VA",8
1534,"GLEN ARBOR, MI",2
1535,"GLEN BURNIE, MD",11
1536,"GLEN COVE, NY",1
1537,"GLEN ELLEN, CA",2
1538,"GLEN ELLYN, IL",4
1539,"GLEN HEAD, NY",1
1540,"GLEN RIDGE, NJ",1
1541,"GLEN ROCK, NJ",1
1542,"GLENCOE, IL",1
1543,"GLENDALE HEIGHTS, IL",1
1544,"GLENDALE, AZ",10
1545,"GLENDALE, CA",29
1546,"GLENDALE, CO",1
1547,"GLENDALE, WI",3
1548,"GLENDIVE, MT",1
1549,"GLENDORA, CA",4
1550,"GLENS FALLS, NY",13
1551,"GLENVIEW, IL",4
1552,"GLENWOOD SPRINGS, CO",11
1553,"GLOBE, AZ",1
1554,"GLOUCESTER, MA",4
1555,"GLOVERSVILLE, NY",1
1556,"GODFREY, IL",2
1557,"GOLD BAR, WA",1
1558,"GOLDEN VALLEY, MN",5
1559,"GOLDEN, CO",23
1560,"GOLDSBORO, NC",3
1561,"GOLDSBY, OK",2
1562,"GOLETA, CA",13
1563,"GONZALES, CA",1
1564,"GONZALES, LA",2
1565,"GONZALES, TX",1
1566,"GOOCHLAND, VA",1
1567,"GOODLAND, KS",1
1568,"GOODYEAR, AZ",9
1569,"GOSHEN, IN",2
1570,"GOTHENBURG, NE",1
1571,"GOVERNMENT CAMP, OR",1
1572,"GOWANDA, NY",1
1573,"GRAEAGLE, CA",2
1574,"GRAFTON, WV",1
1575,"GRAHAM, NC",1
1576,"GRAIN VALLEY, MO",1
1577,"GRANBURY, TX",2
1578,"GRAND BLANC, MI",3
1579,"GRAND CANYON VILLAGE, AZ",6
1580,"GRAND FORKS, ND",4
1581,"GRAND ISLAND, NE",2
1582,"GRAND JUNCTION, CO",19
1583,"GRAND LAKE, CO",1
1584,"GRAND MARAIS, MN",1
1585,"GRAND PRAIRIE, TX",8
1586,"GRAND RAPIDS, MI",37
1587,"GRAND RAPIDS, MN",2
1588,"GRAND RONDE, OR",1
1589,"GRAND TERRACE, CA",1
1590,"GRANDVIEW HEIGHTS, OH",2
1591,"GRANDVIEW, MO",4
1592,"GRANDVILLE, MI",6
1593,"GRANGEVILLE, ID",1
1594,"GRANITE BAY, CA",3
1595,"GRANITE CITY, IL",2
1596,"GRANITE FALLS, NC",1
1597,"GRANTS PASS, OR",7
1598,"GRANTS, NM",2
1599,"GRANTSVILLE, MD",1
1600,"GRANTSVILLE, UT",2
1601,"GRANVILLE, OH",3
1602,"GRAPEVINE, TX",6
1603,"GRASONVILLE, MD",3
1604,"GRASS VALLEY, CA",4
1605,"GRAWN, MI",1
1606,"GRAY, GA",1
1607,"GRAY, LA",1
1608,"GRAY, TN",1
1609,"GRAYLAND, WA",1
1610,"GRAYSLAKE, IL",3
1611,"GRAYSON, GA",2
1612,"GREAT FALLS, MT",4
1613,"GREAT NECK, NY",1
1614,"GREELEY, CO",8
1615,"GREEN BAY, WI",10
1616,"GREEN LAKE, WI",1
1617,"GREEN RIVER, UT",2
1618,"GREENACRES, FL",3
1619,"GREENBELT, MD",1
1620,"GREENEVILLE, TN",3
1621,"GREENFIELD, CA",1
1622,"GREENFIELD, IN",3
1623,"GREENFIELD, MA",6
1624,"GREENFIELD, WI",1
1625,"GREENLAWN, NY",1
1626,"GREENSBORO, GA",2
1627,"GREENSBORO, NC",19
1628,"GREENSBURG, IN",1
1629,"GREENSBURG, KS",1
1630,"GREENSBURG, PA",2
1631,"GREENVALE, NY",1
1632,"GREENVILLE, AL",2
1633,"GREENVILLE, KY",1
1634,"GREENVILLE, MS",1
1635,"GREENVILLE, NC",6
1636,"GREENVILLE, NY",1
1637,"GREENVILLE, SC",37
1638,"GREENVILLE, TX",1
1639,"GREENWOOD VILLAGE, CO",7
1640,"GREENWOOD, IN",3
1641,"GREENWOOD, MS",1
1642,"GREENWOOD, SC",1
1643,"GREER, SC",11
1644,"GRENADA, MS",2
1645,"GRESHAM, OR",6
1646,"GRETNA, NE",2
1647,"GRIFFIN, GA",2
1648,"GRIFFITH, IN",1
1649,"GRINNELL, IA",1
1650,"GROVE CITY, OH",7
1651,"GROVE CITY, PA",2
1652,"GROVELAND, CA",5
1653,"GROVEPORT, OH",2
1654,"GROVER BEACH, CA",3
1655,"GUADALUPE, CA",1
1656,"GUERNEVILLE, CA",3
1657,"GULF BREEZE, FL",1
1658,"GULF SHORES, AL",3
1659,"GULFPORT, FL",2
1660,"GULFPORT, MS",5
1661,"GUNNISON, CO",3
1662,"GUNTERSVILLE, AL",1
1663,"GURNEE, IL",1
1664,"GUSTINE, CA",3
1665,"GUYMON, OK",1
1666,"GYPSUM, CO",4
1667,"HACIENDA HEIGHTS, CA",1
1668,"HAGERSTOWN, MD",10
1669,"HAILEY, ID",3
1670,"HAINES CITY, FL",2
1671,"HALAWA, HI",2
1672,"HALEIWA, HI",1
1673,"HALES CORNERS, WI",1
1674,"HALF MOON BAY, CA",9
1675,"HALLANDALE BEACH, FL",4
1676,"HALLOWELL, ME",2
1677,"HALSEY, OR",1
1678,"HAMILTON SQUARE, NJ",1
1679,"HAMILTON, OH",1
1680,"HAMILTON, VA",1
1681,"HAMLET, NC",2
1682,"HAMMOND, IN",2
1683,"HAMMOND, LA",3
1684,"HAMMONDSPORT, NY",1
1685,"HAMPSTEAD, MD",3
1686,"HAMPTON BAYS, NY",2
1687,"HAMPTON, GA",1
1688,"HAMPTON, VA",5
1689,"HANCOCK, MD",4
1690,"HANFORD, CA",13
1691,"HANOVER, PA",1
1692,"HAPEVILLE, GA",4
1693,"HAPPY VALLEY, OR",9
