Rank,Name[Note 1],city_cleaned,Population (2010 Census),Land Area (sq km),Land Area (sq mi),Density (Population / sq km),Density (Population / sq mi),Central City Population (2010 Census),Central City Pop % of Urban Area,Central City Land Area,Central City Land Area % of Urban Area
357,"Hattiesburg, MS",Hattiesburg,"80,358",178.7,69,449.7,"1,164.60",,,,
358,"Guayama, PR",Guayama,"80,155",105.5,40.7,759.8,"1,967.90",,,,
359,"Altoona, PA",Altoona,"79,930",96.8,37.4,825.3,"2,137.50",,,,
360,"Anniston–Oxford, AL",Anniston,"79,796",224.7,86.8,355.1,919.6,,,,
361,"Lafayette–Louisville–Erie, CO",Lafayette,"79,407",102.4,39.5,775.6,"2,008.70",,,,
362,"Madera, CA",Madera,"78,413",58,22.4,"1,352.10","3,501.90",,,,
363,"Battle Creek, MI",Battle Creek,"78,393",137.3,53,570.9,"1,478.50",,,,
364,"Bowling Green, KY",Bowling Green,"78,306",117.6,45.4,665.9,"1,724.70",,,,
365,"Texarkana–Texarkana, TX–AR",Texarkana,"78,162",166.8,64.4,468.6,"1,213.60",,,,
366,"Lebanon, PA",Lebanon,"77,086",116.7,45.1,660.3,"1,710.10",,,,
367,"Valdosta, GA",Valdosta,"77,085",144.3,55.7,534.2,"1,383.60",,,,
368,"Florence, AL",Florence,"77,074",160.9,62.1,478.9,"1,240.30",,,,
369,"Newark, OH",Newark,"76,068",109.1,42.1,697.2,"1,805.80",,,,
370,"Anderson, SC",Anderson,"75,702",191.9,74.1,394.5,"1,021.80",,,,
371,"Williamsburg, VA",Williamsburg,"75,689",144.8,55.9,522.6,"1,353.50",,,,
372,"Mansfield, OH",Mansfield,"75,250",130.3,50.3,577.4,"1,495.60",,,,
373,"Lake Jackson–Angleton, TX",Lake Jackson,"74,830",108,41.7,693,"1,795.00",,,,
374,"Auburn, AL",Auburn,"74,741",129.3,49.9,578.2,"1,497.60",,,,
375,"Wausau, WI",Wausau,"74,632",121.4,46.9,614.8,"1,592.40",,,,
376,"Oshkosh, WI",Oshkosh,"74,495",79.8,30.8,933.7,"2,418.20",,,,
377,"Cheyenne, WY",Cheyenne,"73,588",91,35.1,808.7,"2,094.60",,,,
378,"Watsonville, CA",Watsonville,"73,534",59.2,22.8,"1,243.10","3,219.50",,,,
379,"Elizabethtown–Radcliff, KY",Elizabethtown,"73,467",147.5,57,498,"1,289.80",,,,
380,"Sumter, SC",Sumter,"73,107",170.1,65.7,429.7,"1,113.00",,,,
381,"Lima, OH",Lima,"72,852",135.6,52.4,537.4,"1,391.70",,,,
382,"Davis, CA",Davis,"72,794",36.6,14.1,"1,991.00","5,156.60",,,,
383,"Westminster–Eldersburg, MD",Westminster,"72,714",149.4,57.7,486.6,"1,260.20",,,,
384,"Flagstaff, AZ",Flagstaff,"71,957",90.2,34.8,797.8,"2,066.20",,,,
385,"Jackson, TN",Jackson,"71,880",132.5,51.1,542.7,"1,405.50",,,,
386,"Camarillo, CA",Camarillo,"71,772",57,22,"1,259.90","3,263.00",,,,
387,"Florida–Imbery–Barceloneta, PR",Florida,"71,747",118.6,45.8,604.7,"1,566.20",,,,
388,"Sheboygan, WI",Sheboygan,"71,313",86.6,33.4,823.5,"2,132.90",,,,
389,"Weirton–Steubenville, WV–OH–PA",Weirton,"70,889",130.8,50.5,541.9,"1,403.60",,,,
390,"Bay City, MI",Bay City,"70,585",104.4,40.3,675.8,"1,750.30",,,,
391,"Owensboro, KY",Owensboro,"70,543",87.6,33.8,805.4,"2,086.00",,,,
392,"Decatur, AL",Decatur,"70,436",151,58.3,466.6,"1,208.40",,,,
393,"Morgantown, WV",Morgantown,"70,350",97.1,37.5,724.4,"1,876.30",,,,
394,"Porterville, CA",Porterville,"70,272",53.1,20.5,"1,322.60","3,425.50",,,,
395,"Pocatello, ID",Pocatello,"69,809",80.3,31,869.2,"2,251.30",,,,
396,"Janesville, WI",Janesville,"69,658",79.7,30.8,873.9,"2,263.40",,,,
397,"Bristol–Bristol, TN–VA",Bristol,"69,501",165.5,63.9,420,"1,087.80",,,,
398,"Winchester, VA",Winchester,"69,449",96.3,37.2,721.1,"1,867.70",,,,
399,"St. Augustine, FL",St. Augustine,"69,173",111.5,43.1,620.3,"1,606.50",,,,
400,"Johnstown, PA",Johnstown,"69,014",100,38.6,690.1,"1,787.20",,,,
401,"Hilton Head Island, SC",Hilton Head Island,"68,998",175.1,67.6,394,"1,020.40",,,,
402,"Dothan, AL",Dothan,"68,781",143.7,55.5,478.5,"1,239.30",,,,
403,"Lodi, CA",Lodi,"68,738",41.2,15.9,"1,668.10","4,320.30",,,,
404,"DeKalb, IL",DeKalb,"68,545",66.8,25.8,"1,026.30","2,658.10",,,,
405,"West Bend, WI",West Bend,"68,444",99.7,38.5,686.6,"1,778.30",,,,
406,"Rocky Mount, NC",Rocky Mount,"68,243",119,46,573.2,"1,484.70",,,,
407,"Elmira, NY",Elmira,"67,983",97.9,37.8,694.4,"1,798.60",,,,
408,"Carbondale, IL",Carbondale,"67,821",126.1,48.7,538,"1,393.30",,,,
409,"Dubuque, IA–IL",Dubuque,"67,818",87.5,33.8,774.9,"2,007.00",,,,
410,"Hammond, LA",Hammond,"67,629",198.5,76.6,340.7,882.5,,,,
411,"Parkersburg, WV–OH",Parkersburg,"67,229",109.8,42.4,612.4,"1,586.20",,,,
412,"Wenatchee, WA",Wenatchee,"67,227",81.3,31.4,827.3,"2,142.80",,,,
413,"Harrisonburg, VA",Harrisonburg,"66,784",84.3,32.6,792.2,"2,051.80",,,,
414,"Cleveland, TN",Cleveland,"66,777",141.4,54.6,472.2,"1,223.00",,,,
415,"Zephyrhills, FL",Zephyrhills,"66,609",112.7,43.5,591.3,"1,531.40",,,,
416,"Hanover, PA",Hanover,"66,301",93.5,36.1,709.2,"1,836.80",,,,
417,"Monessen–California, PA",Monessen,"66,086",115.8,44.7,570.6,"1,477.90",,,,
418,"Michigan City–La Porte, IN–MI",Michigan City,"66,025",100.9,39,654.4,"1,694.80",,,,
419,"Glens Falls, NY",Glens Falls,"65,443",107.6,41.6,608.1,"1,575.00",,,,
420,"Jonesboro, AR",Jonesboro,"65,419",121.6,47,538,"1,393.50",,,,
421,"Conway, AR",Conway,"65,277",102.8,39.7,634.9,"1,644.30",,,,
422,"Great Falls, MT",Great Falls,"65,207",80.6,31.1,809.2,"2,095.70",,,,
423,"Paso Robles–Atascadero, CA",Paso Robles,"65,088",81.4,31.4,799.2,"2,069.90",,,,
424,"Casper, WY",Casper,"64,548",78.6,30.3,821.4,"2,127.30",,,,
425,"Fairbanks, AK",Fairbanks,"64,513",142.8,55.1,451.9,"1,170.40",,,,
