,Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,is_EV,sale total
280,Cadillac ATS,15.0,20.0,12.0,8.0,18.0,19.0,6.0,5.0,6.0,2.0,2.0,2.0,0,115.0
281,Alfa Romeo 4C,10.0,13.0,8.0,7.0,16.0,17.0,7.0,7.0,7.0,2.0,2.0,3.0,0,99.0
282,Chevrolet Volt,7.0,10.0,6.0,7.0,16.0,16.0,2.0,2.0,2.0,0.0,0.0,0.0,0,68.0
283,Volkswagen CC,6.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17.0
284,Buick Cascada,2.0,3.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.0
285,Chrysler 200,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,9.0
286,Dodge Viper,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,6.0
287,Dodge Dart,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0
288,Volkswagen Touareg,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0
289,Lexus LFA,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,3.0
290,Nissan Quest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
