Unique City,No. of Charge Stations
"AUGUSTA, ME",6
"AULANDER, NC",1
"AURORA, CO",35
"AURORA, IL",11
"AURORA, IN",1
"AURORA, MO",1
"AURORA, NE",2
"AURORA, OH",2
"AUSTELL, GA",2
"AUSTIN, MN",5
"AUSTIN, NV",2
"AUSTIN, TX",283
"AUSTINBURG, OH",1
"AVALON, NJ",2
"AVENEL, NJ",1
"AVENTURA, FL",15
"AVERILL PARK, NY",1
"AVILA BEACH, CA",2
"AVOCA, IA",1
"AVON PARK, FL",3
"AVON, CO",14
"AVON, IN",2
"AVON, MA",1
"AVON, NC",1
"AVON, NY",3
"AVON, OH",2
"AVONDALE ESTATES, GA",1
"AVONDALE, AZ",3
"AVONDALE, LA",1
"AYER, MA",1
"AZTEC, NM",1
"AZUSA, CA",8
"BABYLON, NY",2
"BAD AXE, MI",1
"BAILEYS HARBOR, WI",2
"BAILEYVILLE, ME",1
"BAINBRIDGE ISLAND, WA",5
"BAKER CITY, OR",1
"BAKER, CA",4
"BAKERSFIELD, CA",21
"BAL HARBOUR, FL",3
"BALA CYNWYD, PA",2
"BALCONES HEIGHTS, TX",2
"BALDWIN PARK, CA",3
"BALDWIN PLACE, NY",2
"BALDWIN, MI",1
"BALDWIN, WI",1
"BALDWINSVILLE, NY",1
"BALLSTON SPA, NY",1
"BALLWIN, MO",3
"BALLY, PA",1
"BALTIMORE, MD",185
"BANDERA, TX",1
"BANDON, OR",5
"BANGOR, ME",3
"BANKS, OR",2
"BANNER ELK, NC",2
"BANNING, CA",4
"BAR HARBOR, ME",8
"BARABOO, WI",1
"BARBOURSVILLE, WV",1
"BARDSTOWN, KY",3
"BARKHAMSTED, CT",1
"BARNARD, VT",2
"BARNEGAT, NJ",1
"BARNSTABLE, MA",17
"BARRE, MA",1
"BARRE, VT",5
"BARRINGTON, IL",3
"BARRINGTON, RI",3
"BARSTOW, CA",7
"BARTLESVILLE, OK",1
"BARTLETT, TN",2
"BARTON, VT",1
"BARTOW, FL",1
"BASALT, CO",3
"BASKING RIDGE, NJ",6
"BASTROP, TX",1
"BATAVIA, IL",1
"BATAVIA, NY",4
"BATAVIA, OH",1
"BATON ROUGE, LA",23
"BATTLE CREEK, MI",4
"BATTLE MOUNTAIN, NV",1
"BAXTER, MN",1
"BAXTER, TN",1
"BAY CITY, MI",2
"BAY CITY, TX",2
"BAY HARBOR ISLANDS, FL",2
"BAY HARBOR, MI",1
"BAY LAKE, FL",1
"BAY POINT, CA",1
"BAY SAINT LOUIS, MS",1
"BAY SHORE, NY",4
"BAYSIDE, NY",1
"BAYTOWN, TX",3
"BEACH HAVEN, NJ",3
"BEACON FALLS, CT",1
"BEACON, NY",4
"BEAR MOUNTAIN, NY",2
"BEATTY, NV",2
"BEAUFORT, NC",2
"BEAUFORT, SC",3
"BEAUMONT, CA",3
"BEAUMONT, TX",3
"BEAVER CREEK, CO",2
"BEAVER FALLS, PA",1
"BEAVER, UT",2
"BEAVERCREEK, OH",3
"BEAVERTON, OR",19
"BECKET, MA",1
"BECKLEY, WV",1
"BEDFORD HEIGHTS, OH",1
"BEDFORD HILLS, NY",4
"BEDFORD, MA",2
"BEDFORD, NH",5
"BEDFORD, NY",1
"BEDFORD, OH",1
"BEDFORD, PA",2
"BEDFORD, TX",3
"BEDFORD, VA",2
"BEDMINSTER, NJ",1
"BEE CAVE, TX",5
"BEECH ISLAND, SC",1
"BEL AIR, MD",8
"BELAIR, MD",1
"BELCAMP, MD",1
"BELFAIR, WA",1
"BELFAST, ME",1
"BELGRADE, MT",1
"BELLAIRE, MI",1
"BELLE PLAINE, MN",1
"BELLE VERNON, PA",1
"BELLEFONTAINE, OH",1
"BELLEFONTE, PA",5
"BELLEVILLE, IL",2
"BELLEVILLE, MI",3
"BELLEVUE, ID",2
"BELLEVUE, NE",1
"BELLEVUE, WA",92
"BELLFLOWER, CA",3
"BELLINGHAM, MA",1
"BELLINGHAM, WA",23
"BELLMEAD, TX",2
"BELLMORE, NY",1
"BELLVILLE, OH",1
"BELMONT, CA",4
"BELMONT, MA",5
"BELMONT, NC",2
"BELOIT, WI",1
"BELPRE, OH",1
"BELTON, MO",4
"BELTON, TX",1
"BELTSVILLE, MD",2
"BELVEDERE TIBURON, CA",3
"BELVEDERE, CA",1
"BEMIDJI, MN",4
"BEND, OR",25
"BENICIA, CA",3
"BENNETTSVILLE, SC",1
